Country,Continent,inAsia,inAfrica,Population,% of World Pop.,Avg GDP,GDP per Capita
India,Asia,1,0,1417492000,17.219291,3871225,0.002731
China,Asia,1,0,1408280000,17.107386,18645720,0.01324
United States,Americas,0,0,340110988,4.131572,29173777,0.085777
Indonesia,Asia,1,0,284438782,3.455282,1403575,0.004935
Pakistan,Asia,1,0,241499431,2.933667,373822,0.001548
Nigeria,Africa,0,1,223800000,2.718659,220344,0.000985
Brazil,Americas,0,0,213421037,2.592578,2209151,0.010351
Bangladesh,Asia,1,0,169828911,2.063033,449187,0.002645
Russia,Europe,0,0,146028325,1.773911,2240970,0.015346
Mexico,Americas,0,0,130575786,1.586198,1836420,0.014064
Japan,Asia,1,0,123210000,1.49672,4170178,0.033846
Philippines,Asia,1,0,114123600,1.386341,464307,0.004068
Ethiopia,Africa,0,1,111652998,1.356329,144312,0.001293
Egypt,Africa,0,1,107271260,1.303101,356634,0.003325
Vietnam,Asia,1,0,101343800,1.231096,463610,0.004575
Iran,Asia,1,0,85961000,1.04423,398338,0.004634
Turkey,Asia,1,0,85664944,1.040633,1335659,0.015592
Germany,Europe,0,0,83491249,1.014228,4733069,0.056689
United Kingdom,Europe,0,0,69281437,0.841611,3661156,0.052845
France,Europe,0,0,68723000,0.834828,3191822,0.046445
Tanzania,Africa,0,1,68153004,0.827903,81525,0.001196
Thailand,Asia,1,0,65859640,0.800044,533309,0.008098
South Africa,Africa,0,1,63100945,0.766532,401475,0.006362
Italy,Europe,0,0,58927633,0.715836,2405797,0.040826
Kenya,Africa,0,1,53330978,0.64785,122850,0.002304
Colombia,Americas,0,0,53057212,0.644524,406734,0.007666
Sudan,Africa,0,1,51662000,0.627575,39942,0.000773
Myanmar,,0,0,51316756,0.623381,65575,0.001278
South Korea,Asia,1,0,51159889,0.621476,1803474,0.035252
Spain,Europe,0,0,49442844,0.600618,1744736,0.035288
Algeria,Africa,0,1,47400000,0.575802,266419,0.005621
Argentina,Americas,0,0,46387098,0.563497,654237,0.014104
Iraq,Asia,1,0,46118793,0.560238,259067,0.005617
Uganda,Africa,0,1,45905417,0.557646,56556,0.001232
Afghanistan,Asia,1,0,43844000,0.532604,11189,0.000255
Canada,Americas,0,0,41651653,0.505972,2222441,0.053358
Uzbekistan,Asia,1,0,38069116,0.462453,68663,0.001804
Poland,Europe,0,0,37385000,0.454142,921172,0.02464
Morocco,Africa,0,1,36828330,0.44738,159493,0.004331
Angola,Africa,0,1,36170961,0.439395,95372,0.002637
Saudi Arabia,Asia,1,0,35300280,0.428818,1191216,0.033745
Peru,Americas,0,0,34350244,0.417277,291768,0.008494
